Case,RT,Modality,OS,Python
1,35,Auditory,macOS,Python2
2,34,Auditory,macOS,Python2
3,51,Auditory,macOS,Python2
4,51,Auditory,macOS,Python2
5,50,Auditory,macOS,Python2
6,50,Auditory,macOS,Python2
7,34,Auditory,macOS,Python2
8,52,Auditory,macOS,Python2
9,51,Auditory,macOS,Python2
10,35,Auditory,macOS,Python2
11,50,Auditory,macOS,Python2
12,51,Auditory,macOS,Python2
13,51,Auditory,macOS,Python2
14,50,Auditory,macOS,Python2
15,50,Auditory,macOS,Python2
16,51,Auditory,macOS,Python2
17,33,Auditory,macOS,Python2
18,34,Auditory,macOS,Python2
19,51,Auditory,macOS,Python2
20,51,Auditory,macOS,Python2
21,50,Auditory,macOS,Python2
22,52,Auditory,macOS,Python2
23,34,Auditory,macOS,Python2
24,35,Auditory,macOS,Python2
25,53,Auditory,macOS,Python2
26,34,Auditory,macOS,Python2
27,50,Auditory,macOS,Python2
28,34,Auditory,macOS,Python2
29,34,Auditory,macOS,Python2
30,53,Auditory,macOS,Python2
31,52,Auditory,macOS,Python2
32,52,Auditory,macOS,Python2
33,50,Auditory,macOS,Python2
34,33,Auditory,macOS,Python2
35,51,Auditory,macOS,Python2
36,52,Auditory,macOS,Python2
37,51,Auditory,macOS,Python2
38,53,Auditory,macOS,Python2
39,51,Auditory,macOS,Python2
40,50,Auditory,macOS,Python2
41,52,Auditory,macOS,Python2
42,51,Auditory,macOS,Python2
43,51,Auditory,macOS,Python2
44,33,Auditory,macOS,Python2
45,52,Auditory,macOS,Python2
46,51,Auditory,macOS,Python2
47,34,Auditory,macOS,Python2
48,51,Auditory,macOS,Python2
49,34,Auditory,macOS,Python2
50,52,Auditory,macOS,Python2
51,34,Auditory,macOS,Python2
52,34,Auditory,macOS,Python2
53,52,Auditory,macOS,Python2
54,35,Auditory,macOS,Python2
55,52,Auditory,macOS,Python2
56,50,Auditory,macOS,Python2
57,34,Auditory,macOS,Python2
58,51,Auditory,macOS,Python2
59,35,Auditory,macOS,Python2
60,68,Auditory,macOS,Python2
61,51,Auditory,macOS,Python2
62,35,Auditory,macOS,Python2
63,51,Auditory,macOS,Python2
64,53,Auditory,macOS,Python2
65,51,Auditory,macOS,Python2
66,51,Auditory,macOS,Python2
67,33,Auditory,macOS,Python2
68,52,Auditory,macOS,Python2
69,52,Auditory,macOS,Python2
70,52,Auditory,macOS,Python2
71,51,Auditory,macOS,Python2
72,50,Auditory,macOS,Python2
73,51,Auditory,macOS,Python2
74,51,Auditory,macOS,Python2
75,34,Auditory,macOS,Python2
76,51,Auditory,macOS,Python2
77,50,Auditory,macOS,Python2
78,51,Auditory,macOS,Python2
79,51,Auditory,macOS,Python2
80,51,Auditory,macOS,Python2
81,51,Auditory,macOS,Python2
82,34,Auditory,macOS,Python2
83,52,Auditory,macOS,Python2
84,51,Auditory,macOS,Python2
85,33,Auditory,macOS,Python2
86,52,Auditory,macOS,Python2
87,32,Auditory,macOS,Python2
88,51,Auditory,macOS,Python2
89,34,Auditory,macOS,Python2
90,35,Auditory,macOS,Python2
91,50,Auditory,macOS,Python2
92,34,Auditory,macOS,Python2
93,52,Auditory,macOS,Python2
94,50,Auditory,macOS,Python2
95,34,Auditory,macOS,Python2
96,50,Auditory,macOS,Python2
97,51,Auditory,macOS,Python2
98,51,Auditory,macOS,Python2
99,52,Auditory,macOS,Python2
100,34,Auditory,macOS,Python2
101,64,Auditory,Ubuntu,Python2
102,96,Auditory,Ubuntu,Python2
103,144,Auditory,Ubuntu,Python2
104,80,Auditory,Ubuntu,Python2
105,112,Auditory,Ubuntu,Python2
106,96,Auditory,Ubuntu,Python2
107,80,Auditory,Ubuntu,Python2
108,96,Auditory,Ubuntu,Python2
109,80,Auditory,Ubuntu,Python2
110,112,Auditory,Ubuntu,Python2
111,80,Auditory,Ubuntu,Python2
112,96,Auditory,Ubuntu,Python2
113,144,Auditory,Ubuntu,Python2
114,96,Auditory,Ubuntu,Python2
115,112,Auditory,Ubuntu,Python2
116,80,Auditory,Ubuntu,Python2
117,112,Auditory,Ubuntu,Python2
118,128,Auditory,Ubuntu,Python2
119,112,Auditory,Ubuntu,Python2
120,128,Auditory,Ubuntu,Python2
121,112,Auditory,Ubuntu,Python2
122,144,Auditory,Ubuntu,Python2
123,144,Auditory,Ubuntu,Python2
124,128,Auditory,Ubuntu,Python2
125,128,Auditory,Ubuntu,Python2
126,128,Auditory,Ubuntu,Python2
127,112,Auditory,Ubuntu,Python2
128,128,Auditory,Ubuntu,Python2
129,112,Auditory,Ubuntu,Python2
130,144,Auditory,Ubuntu,Python2
131,96,Auditory,Ubuntu,Python2
132,128,Auditory,Ubuntu,Python2
133,96,Auditory,Ubuntu,Python2
134,128,Auditory,Ubuntu,Python2
135,128,Auditory,Ubuntu,Python2
136,144,Auditory,Ubuntu,Python2
137,144,Auditory,Ubuntu,Python2
138,128,Auditory,Ubuntu,Python2
139,112,Auditory,Ubuntu,Python2
140,128,Auditory,Ubuntu,Python2
141,128,Auditory,Ubuntu,Python2
142,144,Auditory,Ubuntu,Python2
143,144,Auditory,Ubuntu,Python2
144,128,Auditory,Ubuntu,Python2
145,128,Auditory,Ubuntu,Python2
146,144,Auditory,Ubuntu,Python2
147,128,Auditory,Ubuntu,Python2
148,112,Auditory,Ubuntu,Python2
149,112,Auditory,Ubuntu,Python2
150,112,Auditory,Ubuntu,Python2
151,144,Auditory,Ubuntu,Python2
152,128,Auditory,Ubuntu,Python2
153,112,Auditory,Ubuntu,Python2
154,144,Auditory,Ubuntu,Python2
155,160,Auditory,Ubuntu,Python2
156,112,Auditory,Ubuntu,Python2
157,128,Auditory,Ubuntu,Python2
158,112,Auditory,Ubuntu,Python2
159,128,Auditory,Ubuntu,Python2
160,112,Auditory,Ubuntu,Python2
161,112,Auditory,Ubuntu,Python2
162,128,Auditory,Ubuntu,Python2
163,144,Auditory,Ubuntu,Python2
164,112,Auditory,Ubuntu,Python2
165,112,Auditory,Ubuntu,Python2
166,128,Auditory,Ubuntu,Python2
167,144,Auditory,Ubuntu,Python2
168,112,Auditory,Ubuntu,Python2
169,128,Auditory,Ubuntu,Python2
170,112,Auditory,Ubuntu,Python2
171,144,Auditory,Ubuntu,Python2
172,112,Auditory,Ubuntu,Python2
173,144,Auditory,Ubuntu,Python2
174,144,Auditory,Ubuntu,Python2
175,112,Auditory,Ubuntu,Python2
176,112,Auditory,Ubuntu,Python2
177,128,Auditory,Ubuntu,Python2
178,128,Auditory,Ubuntu,Python2
179,112,Auditory,Ubuntu,Python2
180,128,Auditory,Ubuntu,Python2
181,128,Auditory,Ubuntu,Python2
182,144,Auditory,Ubuntu,Python2
183,144,Auditory,Ubuntu,Python2
184,144,Auditory,Ubuntu,Python2
185,128,Auditory,Ubuntu,Python2
186,112,Auditory,Ubuntu,Python2
187,128,Auditory,Ubuntu,Python2
188,128,Auditory,Ubuntu,Python2
189,128,Auditory,Ubuntu,Python2
190,128,Auditory,Ubuntu,Python2
191,112,Auditory,Ubuntu,Python2
192,96,Auditory,Ubuntu,Python2
193,128,Auditory,Ubuntu,Python2
194,112,Auditory,Ubuntu,Python2
195,128,Auditory,Ubuntu,Python2
196,112,Auditory,Ubuntu,Python2
197,144,Auditory,Ubuntu,Python2
198,112,Auditory,Ubuntu,Python2
199,128,Auditory,Ubuntu,Python2
200,112,Auditory,Ubuntu,Python2
201,52,Auditory,macOS,Python3
202,34,Auditory,macOS,Python3
203,49,Auditory,macOS,Python3
204,35,Auditory,macOS,Python3
205,51,Auditory,macOS,Python3
206,49,Auditory,macOS,Python3
207,34,Auditory,macOS,Python3
208,52,Auditory,macOS,Python3
209,50,Auditory,macOS,Python3
210,34,Auditory,macOS,Python3
211,53,Auditory,macOS,Python3
212,35,Auditory,macOS,Python3
213,49,Auditory,macOS,Python3
214,35,Auditory,macOS,Python3
215,33,Auditory,macOS,Python3
216,52,Auditory,macOS,Python3
217,53,Auditory,macOS,Python3
218,52,Auditory,macOS,Python3
219,51,Auditory,macOS,Python3
220,35,Auditory,macOS,Python3
221,51,Auditory,macOS,Python3
222,52,Auditory,macOS,Python3
223,52,Auditory,macOS,Python3
224,52,Auditory,macOS,Python3
225,50,Auditory,macOS,Python3
226,50,Auditory,macOS,Python3
227,34,Auditory,macOS,Python3
228,33,Auditory,macOS,Python3
229,53,Auditory,macOS,Python3
230,33,Auditory,macOS,Python3
231,35,Auditory,macOS,Python3
232,50,Auditory,macOS,Python3
233,52,Auditory,macOS,Python3
234,50,Auditory,macOS,Python3
235,51,Auditory,macOS,Python3
236,50,Auditory,macOS,Python3
