subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,13615,2,3035,0,gameplay-adaptive,1035,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35
,,16614,2,6034,0,gameplay-adaptive,4034,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,19631,2,9051,0,gameplay-adaptive,7051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,22631,2,12051,0,gameplay-adaptive,10051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,25647,2,15067,0,gameplay-adaptive,13067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,28630,2,18050,0,gameplay-adaptive,16050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,31614,2,21034,0,gameplay-adaptive,19034,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,34632,2,24052,0,gameplay-adaptive,22052,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,37631,2,27051,0,gameplay-adaptive,25051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,40615,2,30035,0,gameplay-adaptive,28035,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35
,,43630,2,33050,0,gameplay-adaptive,31050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,46648,2,36068,0,gameplay-adaptive,34068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,49632,2,39052,0,gameplay-adaptive,37052,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,52630,2,42050,0,gameplay-adaptive,40050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,55647,2,45067,0,gameplay-adaptive,43067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,58631,2,48051,0,gameplay-adaptive,46051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,61613,2,51033,0,gameplay-adaptive,49033,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33
,,64630,2,54050,0,gameplay-adaptive,52050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,67647,2,57067,0,gameplay-adaptive,55067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
