subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,4518,2,3081,0,gameplay-adaptive,1081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,7526,2,6089,0,gameplay-adaptive,4089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,10502,2,9065,0,gameplay-adaptive,7065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,13526,2,12089,0,gameplay-adaptive,10089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,16502,2,15065,0,gameplay-adaptive,13065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,19510,2,18073,0,gameplay-adaptive,16073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,22518,2,21081,0,gameplay-adaptive,19081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,25510,2,24073,0,gameplay-adaptive,22073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,28502,2,27065,0,gameplay-adaptive,25065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,31526,2,30089,0,gameplay-adaptive,28089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,34518,2,33081,0,gameplay-adaptive,31081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,37510,2,36073,0,gameplay-adaptive,34073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,40518,2,39081,0,gameplay-adaptive,37081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,43526,2,42089,0,gameplay-adaptive,40089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,46502,2,45065,0,gameplay-adaptive,43065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,49510,2,48073,0,gameplay-adaptive,46073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,52518,2,51081,0,gameplay-adaptive,49081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,55510,2,54073,0,gameplay-adaptive,52073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,58502,2,57065,0,gameplay-adaptive,55065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,61526,2,60089,0,gameplay-adaptive,58089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,64502,2,63065,0,gameplay-adaptive,61065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,67510,2,66073,0,gameplay-adaptive,64073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,70502,2,69065,0,gameplay-adaptive,67065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,73527,2,72090,0,gameplay-adaptive,70090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,76503,2,75066,0,gameplay-adaptive,73066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,79511,2,78074,0,gameplay-adaptive,76074,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,82519,2,81082,0,gameplay-adaptive,79082,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,85511,2,84074,0,gameplay-adaptive,82074,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,88503,2,87066,0,gameplay-adaptive,85066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,91511,2,90074,0,gameplay-adaptive,88074,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,94504,2,93067,0,gameplay-adaptive,91067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,97528,2,96091,0,gameplay-adaptive,94091,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,100504,2,99067,0,gameplay-adaptive,97067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,103528,2,102091,0,gameplay-adaptive,100091,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,106504,2,105067,0,gameplay-adaptive,103067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,109512,2,108075,0,gameplay-adaptive,106075,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,112504,2,111067,0,gameplay-adaptive,109067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,115529,2,114092,0,gameplay-adaptive,112092,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,118506,2,117069,0,gameplay-adaptive,115069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,121514,2,120077,0,gameplay-adaptive,118077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,124506,2,123069,0,gameplay-adaptive,121069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,127514,2,126077,0,gameplay-adaptive,124077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,130507,2,129070,0,gameplay-adaptive,127070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,133531,2,132094,0,gameplay-adaptive,130094,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,136507,2,135070,0,gameplay-adaptive,133070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,139516,2,138079,0,gameplay-adaptive,136079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,142524,2,141087,0,gameplay-adaptive,139087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,145506,2,144069,0,gameplay-adaptive,142069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,148530,2,147093,0,gameplay-adaptive,145093,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,151506,2,150069,0,gameplay-adaptive,148069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,154514,2,153077,0,gameplay-adaptive,151077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,157506,2,156069,0,gameplay-adaptive,154069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,160514,2,159077,0,gameplay-adaptive,157077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
