subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,4590,2,3052,0,gameplay-adaptive,1052,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,7573,2,6035,0,gameplay-adaptive,4035,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,10589,2,9051,0,gameplay-adaptive,7051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,49,TRUE,K_b
,,13573,2,12035,0,gameplay-adaptive,10035,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,16590,2,15052,0,gameplay-adaptive,13052,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,19588,2,18050,0,gameplay-adaptive,16050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,49,TRUE,K_b
,,22572,2,21034,0,gameplay-adaptive,19034,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,25590,2,24052,0,gameplay-adaptive,22052,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,28588,2,27050,0,gameplay-adaptive,25050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,31572,2,30034,0,gameplay-adaptive,28034,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,34591,2,33053,0,gameplay-adaptive,31053,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,37573,2,36035,0,gameplay-adaptive,34035,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,40589,2,39051,0,gameplay-adaptive,37051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,49,TRUE,K_b
,,43573,2,42035,0,gameplay-adaptive,40035,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,46572,2,45034,0,gameplay-adaptive,43034,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33,TRUE,K_b
,,49590,2,48052,0,gameplay-adaptive,46052,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,52591,2,51053,0,gameplay-adaptive,49053,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,55591,2,54053,0,gameplay-adaptive,52053,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,58589,2,57051,0,gameplay-adaptive,55051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
