subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,6008,2,3076,0,gameplay-adaptive,1076,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,9000,2,6068,0,gameplay-adaptive,4068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,12008,2,9076,0,gameplay-adaptive,7076,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,15000,2,12068,0,gameplay-adaptive,10068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,18040,2,15108,0,gameplay-adaptive,13108,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,21000,2,18068,0,gameplay-adaptive,16068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,24024,2,21092,0,gameplay-adaptive,19092,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,27016,2,24084,0,gameplay-adaptive,22084,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,30024,2,27092,0,gameplay-adaptive,25092,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,33016,2,30084,0,gameplay-adaptive,28084,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,36008,2,33076,0,gameplay-adaptive,31076,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,39000,2,36068,0,gameplay-adaptive,34068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,42008,2,39076,0,gameplay-adaptive,37076,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,45000,2,42068,0,gameplay-adaptive,40068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,48024,2,45092,0,gameplay-adaptive,43092,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,51000,2,48068,0,gameplay-adaptive,46068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,54008,2,51076,0,gameplay-adaptive,49076,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,57035,2,54103,0,gameplay-adaptive,52103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,60043,2,57111,0,gameplay-adaptive,55111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,63035,2,60103,0,gameplay-adaptive,58103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,66027,2,63095,0,gameplay-adaptive,61095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,69019,2,66087,0,gameplay-adaptive,64087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,72027,2,69095,0,gameplay-adaptive,67095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,75019,2,72087,0,gameplay-adaptive,70087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,78027,2,75095,0,gameplay-adaptive,73095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,81035,2,78103,0,gameplay-adaptive,76103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,84011,2,81079,0,gameplay-adaptive,79079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,87003,2,84071,0,gameplay-adaptive,82071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,90011,2,87079,0,gameplay-adaptive,85079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,93003,2,90071,0,gameplay-adaptive,88071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,96043,2,93111,0,gameplay-adaptive,91111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,99035,2,96103,0,gameplay-adaptive,94103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,102043,2,99111,0,gameplay-adaptive,97111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,105035,2,102103,0,gameplay-adaptive,100103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,108027,2,105095,0,gameplay-adaptive,103095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,111019,2,108087,0,gameplay-adaptive,106087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,114027,2,111095,0,gameplay-adaptive,109095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,117003,2,114071,0,gameplay-adaptive,112071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,120027,2,117095,0,gameplay-adaptive,115095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,123051,2,120119,0,gameplay-adaptive,118119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112,true,K_b
,,126043,2,123111,0,gameplay-adaptive,121111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,129035,2,126103,0,gameplay-adaptive,124103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,132043,2,129111,0,gameplay-adaptive,127111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,135035,2,132103,0,gameplay-adaptive,130103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,138043,2,135111,0,gameplay-adaptive,133111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,141035,2,138103,0,gameplay-adaptive,136103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,144027,2,141095,0,gameplay-adaptive,139095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,147019,2,144087,0,gameplay-adaptive,142087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,150027,2,147095,0,gameplay-adaptive,145095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,153019,2,150087,0,gameplay-adaptive,148087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,156027,2,153095,0,gameplay-adaptive,151095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,159035,2,156103,0,gameplay-adaptive,154103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,162043,2,159111,0,gameplay-adaptive,157111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,165035,2,162103,0,gameplay-adaptive,160103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,168043,2,165111,0,gameplay-adaptive,163111,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,171035,2,168103,0,gameplay-adaptive,166103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,174027,2,171095,0,gameplay-adaptive,169095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,177019,2,174087,0,gameplay-adaptive,172087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,180027,2,177095,0,gameplay-adaptive,175095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,183019,2,180087,0,gameplay-adaptive,178087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,186013,2,183081,0,gameplay-adaptive,181081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,189021,2,186089,0,gameplay-adaptive,184089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,192045,2,189113,0,gameplay-adaptive,187113,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112,true,K_b
,,195053,2,192121,0,gameplay-adaptive,190121,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112,true,K_b
,,198029,2,195097,0,gameplay-adaptive,193097,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,201021,2,198089,0,gameplay-adaptive,196089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,204013,2,201081,0,gameplay-adaptive,199081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,207021,2,204089,0,gameplay-adaptive,202089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,210029,2,207097,0,gameplay-adaptive,205097,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,213021,2,210089,0,gameplay-adaptive,208089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,216013,2,213081,0,gameplay-adaptive,211081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,219021,2,216089,0,gameplay-adaptive,214089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,222013,2,219081,0,gameplay-adaptive,217081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,225021,2,222089,0,gameplay-adaptive,220089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,227997,2,225065,0,gameplay-adaptive,223065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,231021,2,228089,0,gameplay-adaptive,226089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,234013,2,231081,0,gameplay-adaptive,229081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,237022,2,234090,0,gameplay-adaptive,232090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,240014,2,237082,0,gameplay-adaptive,235082,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,243022,2,240090,0,gameplay-adaptive,238090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,246014,2,243082,0,gameplay-adaptive,241082,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,249022,2,246090,0,gameplay-adaptive,244090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,251998,2,249066,0,gameplay-adaptive,247066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,255038,2,252106,0,gameplay-adaptive,250106,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,258030,2,255098,0,gameplay-adaptive,253098,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,261038,2,258106,0,gameplay-adaptive,256106,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,264030,2,261098,0,gameplay-adaptive,259098,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,267022,2,264090,0,gameplay-adaptive,262090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,270014,2,267082,0,gameplay-adaptive,265082,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,273022,2,270090,0,gameplay-adaptive,268090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,276014,2,273082,0,gameplay-adaptive,271082,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,279057,2,276125,0,gameplay-adaptive,274125,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112,true,K_b
,,282033,2,279101,0,gameplay-adaptive,277101,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,285041,2,282109,0,gameplay-adaptive,280109,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,288033,2,285101,0,gameplay-adaptive,283101,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,291025,2,288093,0,gameplay-adaptive,286093,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,294017,2,291085,0,gameplay-adaptive,289085,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,297041,2,294109,0,gameplay-adaptive,292109,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96,true,K_b
,,300017,2,297085,0,gameplay-adaptive,295085,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,303025,2,300093,0,gameplay-adaptive,298093,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,,,,,,,,,,,,,Mean RT,83.2,,
,,,,,,,,,,,,,,SD RT,12.4559831065844,,
