subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,4875,2,3070,0,gameplay-adaptive,1070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,7883,2,6078,0,gameplay-adaptive,4078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,10875,2,9070,0,gameplay-adaptive,7070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,13883,2,12078,0,gameplay-adaptive,10078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,16875,2,15070,0,gameplay-adaptive,13070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,19883,2,18078,0,gameplay-adaptive,16078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,22875,2,21070,0,gameplay-adaptive,19070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,25883,2,24078,0,gameplay-adaptive,22078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,28875,2,27070,0,gameplay-adaptive,25070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,31883,2,30078,0,gameplay-adaptive,28078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,34875,2,33070,0,gameplay-adaptive,31070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,37899,2,36094,0,gameplay-adaptive,34094,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,40875,2,39070,0,gameplay-adaptive,37070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,43883,2,42078,0,gameplay-adaptive,40078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,46875,2,45070,0,gameplay-adaptive,43070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
