subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,23067,2,3058,0,gameplay-adaptive,1058,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,26059,2,6050,0,gameplay-adaptive,4050,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,29067,2,9058,0,gameplay-adaptive,7058,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,32076,2,12067,0,gameplay-adaptive,10067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,35068,2,15059,0,gameplay-adaptive,13059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,38076,2,18067,0,gameplay-adaptive,16067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,41068,2,21059,0,gameplay-adaptive,19059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,44060,2,24051,0,gameplay-adaptive,22051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,47068,2,27059,0,gameplay-adaptive,25059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,50060,2,30051,0,gameplay-adaptive,28051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,53068,2,33059,0,gameplay-adaptive,31059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,56060,2,36051,0,gameplay-adaptive,34051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,59068,2,39059,0,gameplay-adaptive,37059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,62060,2,42051,0,gameplay-adaptive,40051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,65068,2,45059,0,gameplay-adaptive,43059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,68060,2,48051,0,gameplay-adaptive,46051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,71069,2,51060,0,gameplay-adaptive,49060,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,74077,2,54068,0,gameplay-adaptive,52068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,77069,2,57060,0,gameplay-adaptive,55060,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
