subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,23101,2,3088,0,gameplay-adaptive,1088,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,26077,2,6064,0,gameplay-adaptive,4064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,29069,2,9056,0,gameplay-adaptive,7056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,32061,2,12048,0,gameplay-adaptive,10048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,35085,2,15072,0,gameplay-adaptive,13072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,38061,2,18048,0,gameplay-adaptive,16048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,41069,2,21056,0,gameplay-adaptive,19056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,44077,2,24064,0,gameplay-adaptive,22064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,47085,2,27072,0,gameplay-adaptive,25072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,50062,2,30049,0,gameplay-adaptive,28049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,53086,2,33073,0,gameplay-adaptive,31073,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,56066,2,36053,0,gameplay-adaptive,34053,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,59107,2,39094,0,gameplay-adaptive,37094,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,62083,2,42070,0,gameplay-adaptive,40070,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,65075,2,45062,0,gameplay-adaptive,43062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,68100,2,48087,0,gameplay-adaptive,46087,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,71092,2,51079,0,gameplay-adaptive,49079,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,74068,2,54055,0,gameplay-adaptive,52055,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,77077,2,57064,0,gameplay-adaptive,55064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,80085,2,60072,0,gameplay-adaptive,58072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,83061,2,63048,0,gameplay-adaptive,61048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,86069,2,66056,0,gameplay-adaptive,64056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,89077,2,69064,0,gameplay-adaptive,67064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,92069,2,72056,0,gameplay-adaptive,70056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,95061,2,75048,0,gameplay-adaptive,73048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,98101,2,78088,0,gameplay-adaptive,76088,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,101061,2,81048,0,gameplay-adaptive,79048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,104069,2,84056,0,gameplay-adaptive,82056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,107093,2,87080,0,gameplay-adaptive,85080,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,110085,2,90072,0,gameplay-adaptive,88072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,113061,2,93048,0,gameplay-adaptive,91048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,116070,2,96057,0,gameplay-adaptive,94057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,119078,2,99065,0,gameplay-adaptive,97065,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,122070,2,102057,0,gameplay-adaptive,100057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,125062,2,105049,0,gameplay-adaptive,103049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,128086,2,108073,0,gameplay-adaptive,106073,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,131062,2,111049,0,gameplay-adaptive,109049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,134070,2,114057,0,gameplay-adaptive,112057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,137094,2,117081,0,gameplay-adaptive,115081,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,140070,2,120057,0,gameplay-adaptive,118057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,143062,2,123049,0,gameplay-adaptive,121049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,146070,2,126057,0,gameplay-adaptive,124057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,149078,2,129065,0,gameplay-adaptive,127065,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,152071,2,132058,0,gameplay-adaptive,130058,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,155063,2,135050,0,gameplay-adaptive,133050,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,158087,2,138074,0,gameplay-adaptive,136074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,161063,2,141050,0,gameplay-adaptive,139050,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,164072,2,144059,0,gameplay-adaptive,142059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,167080,2,147067,0,gameplay-adaptive,145067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,170072,2,150059,0,gameplay-adaptive,148059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,173064,2,153051,0,gameplay-adaptive,151051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,176088,2,156075,0,gameplay-adaptive,154075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,179066,2,159053,0,gameplay-adaptive,157053,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,182074,2,162061,0,gameplay-adaptive,160061,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,185082,2,165069,0,gameplay-adaptive,163069,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,188074,2,168061,0,gameplay-adaptive,166061,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,191067,2,171054,0,gameplay-adaptive,169054,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,194107,2,174094,0,gameplay-adaptive,172094,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,197067,2,177054,0,gameplay-adaptive,175054,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,200075,2,180062,0,gameplay-adaptive,178062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
,,203099,2,183086,0,gameplay-adaptive,181086,dynamic-0,0,1,playing,none,whitescreen.png,complete,80
,,206091,2,186078,0,gameplay-adaptive,184078,dynamic-0,0,1,playing,none,whitescreen.png,complete,64
,,209068,2,189055,0,gameplay-adaptive,187055,dynamic-0,0,1,playing,none,whitescreen.png,complete,48
