subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,23076,2,3071,0,gameplay-adaptive,1071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,26077,2,6072,0,gameplay-adaptive,4072,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,29075,2,9070,0,gameplay-adaptive,7070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,32076,2,12071,0,gameplay-adaptive,10071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,35077,2,15072,0,gameplay-adaptive,13072,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,38093,2,18088,0,gameplay-adaptive,16088,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,41076,2,21071,0,gameplay-adaptive,19071,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,44076,2,24071,0,gameplay-adaptive,22071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,47076,2,27071,0,gameplay-adaptive,25071,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,50076,2,30071,0,gameplay-adaptive,28071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,53076,2,33071,0,gameplay-adaptive,31071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,56075,2,36070,0,gameplay-adaptive,34070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,59077,2,39072,0,gameplay-adaptive,37072,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,62093,2,42088,0,gameplay-adaptive,40088,dynamic-0,0,1,playing,none,whitescreen.png,complete,88,TRUE,K_SPACE
,,65093,2,45088,0,gameplay-adaptive,43088,dynamic-0,0,1,playing,none,whitescreen.png,complete,87,TRUE,K_SPACE
,,68075,2,48070,0,gameplay-adaptive,46070,dynamic-0,0,1,playing,none,whitescreen.png,complete,69,TRUE,K_SPACE
,,71093,2,51088,0,gameplay-adaptive,49088,dynamic-0,0,1,playing,none,whitescreen.png,complete,88,TRUE,K_SPACE
,,74092,2,54087,0,gameplay-adaptive,52087,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,77075,2,57070,0,gameplay-adaptive,55070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,80091,2,60086,0,gameplay-adaptive,58086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,83075,2,63070,0,gameplay-adaptive,61070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,86075,2,66070,0,gameplay-adaptive,64070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,89092,2,69087,0,gameplay-adaptive,67087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,92091,2,72086,0,gameplay-adaptive,70086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,95091,2,75086,0,gameplay-adaptive,73086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,98092,2,78087,0,gameplay-adaptive,76087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,101092,2,81087,0,gameplay-adaptive,79087,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,104091,2,84086,0,gameplay-adaptive,82086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,107092,2,87087,0,gameplay-adaptive,85087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,110092,2,90087,0,gameplay-adaptive,88087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,113092,2,93087,0,gameplay-adaptive,91087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,116092,2,96087,0,gameplay-adaptive,94087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,119091,2,99086,0,gameplay-adaptive,97086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,122092,2,102087,0,gameplay-adaptive,100087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,125108,2,105103,0,gameplay-adaptive,103103,dynamic-0,0,1,playing,none,whitescreen.png,complete,87,TRUE,K_SPACE
,,128092,2,108087,0,gameplay-adaptive,106087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,131075,2,111070,0,gameplay-adaptive,109070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,134092,2,114087,0,gameplay-adaptive,112087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,137091,2,117086,0,gameplay-adaptive,115086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,140091,2,120086,0,gameplay-adaptive,118086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,143091,2,123086,0,gameplay-adaptive,121086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,146092,2,126087,0,gameplay-adaptive,124087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,149090,2,129085,0,gameplay-adaptive,127085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,152091,2,132086,0,gameplay-adaptive,130086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,155092,2,135087,0,gameplay-adaptive,133087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,158092,2,138087,0,gameplay-adaptive,136087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,161091,2,141086,0,gameplay-adaptive,139086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,164092,2,144087,0,gameplay-adaptive,142087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73,TRUE,K_SPACE
,,167090,2,147085,0,gameplay-adaptive,145085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,170091,2,150086,0,gameplay-adaptive,148086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,173091,2,153086,0,gameplay-adaptive,151086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,176090,2,156085,0,gameplay-adaptive,154085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,179092,2,159087,0,gameplay-adaptive,157087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,182092,2,162087,0,gameplay-adaptive,160087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,185090,2,165085,0,gameplay-adaptive,163085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,188092,2,168087,0,gameplay-adaptive,166087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,191091,2,171086,0,gameplay-adaptive,169086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,194108,2,174103,0,gameplay-adaptive,172103,dynamic-0,0,1,playing,none,whitescreen.png,complete,89,TRUE,K_SPACE
,,197090,2,177085,0,gameplay-adaptive,175085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,200095,2,180090,0,gameplay-adaptive,178090,dynamic-0,0,1,playing,none,whitescreen.png,complete,75,TRUE,K_SPACE
,,203090,2,183085,0,gameplay-adaptive,181085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,206090,2,186085,0,gameplay-adaptive,184085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,209107,2,189102,0,gameplay-adaptive,187102,dynamic-0,0,1,playing,none,whitescreen.png,complete,88,TRUE,K_SPACE
,,212091,2,192086,0,gameplay-adaptive,190086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,215090,2,195085,0,gameplay-adaptive,193085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,218091,2,198086,0,gameplay-adaptive,196086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,221091,2,201086,0,gameplay-adaptive,199086,dynamic-0,0,1,playing,none,whitescreen.png,complete,73,TRUE,K_SPACE
,,224093,2,204088,0,gameplay-adaptive,202088,dynamic-0,0,1,playing,none,whitescreen.png,complete,74,TRUE,K_SPACE
,,227091,2,207086,0,gameplay-adaptive,205086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,230090,2,210085,0,gameplay-adaptive,208085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,233089,2,213084,0,gameplay-adaptive,211084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,236090,2,216085,0,gameplay-adaptive,214085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,239091,2,219086,0,gameplay-adaptive,217086,dynamic-0,0,1,playing,none,whitescreen.png,complete,73,TRUE,K_SPACE
,,242089,2,222084,0,gameplay-adaptive,220084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,245092,2,225087,0,gameplay-adaptive,223087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73,TRUE,K_SPACE
,,248091,2,228086,0,gameplay-adaptive,226086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,251090,2,231085,0,gameplay-adaptive,229085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,254107,2,234102,0,gameplay-adaptive,232102,dynamic-0,0,1,playing,none,whitescreen.png,complete,88,TRUE,K_SPACE
,,257090,2,237085,0,gameplay-adaptive,235085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,260090,2,240085,0,gameplay-adaptive,238085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,263090,2,243085,0,gameplay-adaptive,241085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,266089,2,246084,0,gameplay-adaptive,244084,dynamic-0,0,1,playing,none,whitescreen.png,complete,69,TRUE,K_SPACE
,,269088,2,249083,0,gameplay-adaptive,247083,dynamic-0,0,1,playing,none,whitescreen.png,complete,69,TRUE,K_SPACE
,,272090,2,252085,0,gameplay-adaptive,250085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,275089,2,255084,0,gameplay-adaptive,253084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,278089,2,258084,0,gameplay-adaptive,256084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,281089,2,261084,0,gameplay-adaptive,259084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,284089,2,264084,0,gameplay-adaptive,262084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,287089,2,267084,0,gameplay-adaptive,265084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,290089,2,270084,0,gameplay-adaptive,268084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,293089,2,273084,0,gameplay-adaptive,271084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,296089,2,276084,0,gameplay-adaptive,274084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,299090,2,279085,0,gameplay-adaptive,277085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,302088,2,282083,0,gameplay-adaptive,280083,dynamic-0,0,1,playing,none,whitescreen.png,complete,70,TRUE,K_SPACE
,,305089,2,285084,0,gameplay-adaptive,283084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,308089,2,288084,0,gameplay-adaptive,286084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,311089,2,291084,0,gameplay-adaptive,289084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,314089,2,294084,0,gameplay-adaptive,292084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,317089,2,297084,0,gameplay-adaptive,295084,dynamic-0,0,1,playing,none,whitescreen.png,complete,72,TRUE,K_SPACE
,,320089,2,300084,0,gameplay-adaptive,298084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71,TRUE,K_SPACE
,,,,,,,,,,,,,,Mean RT,72.09,,
,,,,,,,,,,,,,,SD ST,4.465569743,,
