subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,23086,2,3074,0,gameplay-adaptive,1074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,26078,2,6066,0,gameplay-adaptive,4066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,29086,2,9074,0,gameplay-adaptive,7074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,32078,2,12066,0,gameplay-adaptive,10066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,35086,2,15074,0,gameplay-adaptive,13074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,38078,2,18066,0,gameplay-adaptive,16066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,41086,2,21074,0,gameplay-adaptive,19074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,44078,2,24066,0,gameplay-adaptive,22066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,47086,2,27074,0,gameplay-adaptive,25074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,50084,2,30072,0,gameplay-adaptive,28072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,53076,2,33064,0,gameplay-adaptive,31064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,56084,2,36072,0,gameplay-adaptive,34072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,59076,2,39064,0,gameplay-adaptive,37064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,62084,2,42072,0,gameplay-adaptive,40072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,65076,2,45064,0,gameplay-adaptive,43064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,68084,2,48072,0,gameplay-adaptive,46072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,71076,2,51064,0,gameplay-adaptive,49064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,74084,2,54072,0,gameplay-adaptive,52072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,77076,2,57064,0,gameplay-adaptive,55064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,80084,2,60072,0,gameplay-adaptive,58072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,83076,2,63064,0,gameplay-adaptive,61064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,86084,2,66072,0,gameplay-adaptive,64072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,89076,2,69064,0,gameplay-adaptive,67064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,92084,2,72072,0,gameplay-adaptive,70072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,95076,2,75064,0,gameplay-adaptive,73064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,98084,2,78072,0,gameplay-adaptive,76072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,101076,2,81064,0,gameplay-adaptive,79064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,104084,2,84072,0,gameplay-adaptive,82072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,107076,2,87064,0,gameplay-adaptive,85064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,110087,2,90075,0,gameplay-adaptive,88075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,113079,2,93067,0,gameplay-adaptive,91067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,116087,2,96075,0,gameplay-adaptive,94075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,119079,2,99067,0,gameplay-adaptive,97067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,122087,2,102075,0,gameplay-adaptive,100075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,125080,2,105068,0,gameplay-adaptive,103068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,128072,2,108060,0,gameplay-adaptive,106060,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,131080,2,111068,0,gameplay-adaptive,109068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,134088,2,114076,0,gameplay-adaptive,112076,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,137080,2,117068,0,gameplay-adaptive,115068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,140088,2,120076,0,gameplay-adaptive,118076,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,143080,2,123068,0,gameplay-adaptive,121068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,146088,2,126076,0,gameplay-adaptive,124076,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,149065,2,129053,0,gameplay-adaptive,127053,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,152089,2,132077,0,gameplay-adaptive,130077,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,155081,2,135069,0,gameplay-adaptive,133069,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,158089,2,138077,0,gameplay-adaptive,136077,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,161081,2,141069,0,gameplay-adaptive,139069,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,164089,2,144077,0,gameplay-adaptive,142077,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,167081,2,147069,0,gameplay-adaptive,145069,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,170079,2,150067,0,gameplay-adaptive,148067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,173087,2,153075,0,gameplay-adaptive,151075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,176079,2,156067,0,gameplay-adaptive,154067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,179087,2,159075,0,gameplay-adaptive,157075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,182079,2,162067,0,gameplay-adaptive,160067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,185087,2,165075,0,gameplay-adaptive,163075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,188079,2,168067,0,gameplay-adaptive,166067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,191087,2,171075,0,gameplay-adaptive,169075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,194079,2,174067,0,gameplay-adaptive,172067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,197087,2,177075,0,gameplay-adaptive,175075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,200079,2,180067,0,gameplay-adaptive,178067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,203087,2,183075,0,gameplay-adaptive,181075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,206063,2,186051,0,gameplay-adaptive,184051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,209087,2,189075,0,gameplay-adaptive,187075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,212079,2,192067,0,gameplay-adaptive,190067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,215087,2,195075,0,gameplay-adaptive,193075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,218079,2,198067,0,gameplay-adaptive,196067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,221087,2,201075,0,gameplay-adaptive,199075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,224079,2,204067,0,gameplay-adaptive,202067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,227071,2,207059,0,gameplay-adaptive,205059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,230079,2,210067,0,gameplay-adaptive,208067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,233087,2,213075,0,gameplay-adaptive,211075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,236079,2,216067,0,gameplay-adaptive,214067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,239087,2,219075,0,gameplay-adaptive,217075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,242079,2,222067,0,gameplay-adaptive,220067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,245087,2,225075,0,gameplay-adaptive,223075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,248079,2,228067,0,gameplay-adaptive,226067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,251087,2,231075,0,gameplay-adaptive,229075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,254063,2,234051,0,gameplay-adaptive,232051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,257087,2,237075,0,gameplay-adaptive,235075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,260079,2,240067,0,gameplay-adaptive,238067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,263087,2,243075,0,gameplay-adaptive,241075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,266079,2,246067,0,gameplay-adaptive,244067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,269087,2,249075,0,gameplay-adaptive,247075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,272079,2,252067,0,gameplay-adaptive,250067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
