subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,23067,2,3052,0,gameplay-adaptive,1052,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,26075,2,6060,0,gameplay-adaptive,4060,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,29083,2,9068,0,gameplay-adaptive,7068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,32092,2,12077,0,gameplay-adaptive,10077,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,35068,2,15053,0,gameplay-adaptive,13053,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,38093,2,18078,0,gameplay-adaptive,16078,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,41085,2,21070,0,gameplay-adaptive,19070,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,44077,2,24062,0,gameplay-adaptive,22062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,47101,2,27086,0,gameplay-adaptive,25086,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,50093,2,30078,0,gameplay-adaptive,28078,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,53070,2,33055,0,gameplay-adaptive,31055,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,56079,2,36064,0,gameplay-adaptive,34064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,59088,2,39073,0,gameplay-adaptive,37073,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,62064,2,42049,0,gameplay-adaptive,40049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,65090,2,45075,0,gameplay-adaptive,43075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,68083,2,48068,0,gameplay-adaptive,46068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,71075,2,51060,0,gameplay-adaptive,49060,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,74083,2,54068,0,gameplay-adaptive,52068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,77091,2,57076,0,gameplay-adaptive,55076,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,80068,2,60053,0,gameplay-adaptive,58053,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,83108,2,63093,0,gameplay-adaptive,61093,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,86085,2,66070,0,gameplay-adaptive,64070,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,89077,2,69062,0,gameplay-adaptive,67062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,92086,2,72071,0,gameplay-adaptive,70071,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,95094,2,75079,0,gameplay-adaptive,73079,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,98070,2,78055,0,gameplay-adaptive,76055,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,101110,2,81095,0,gameplay-adaptive,79095,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,104087,2,84072,0,gameplay-adaptive,82072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,107063,2,87048,0,gameplay-adaptive,85048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,110089,2,90074,0,gameplay-adaptive,88074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,113081,2,93066,0,gameplay-adaptive,91066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,116074,2,96059,0,gameplay-adaptive,94059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,119083,2,99068,0,gameplay-adaptive,97068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,122091,2,102076,0,gameplay-adaptive,100076,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,125067,2,105052,0,gameplay-adaptive,103052,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,128092,2,108077,0,gameplay-adaptive,106077,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,131085,2,111070,0,gameplay-adaptive,109070,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,134077,2,114062,0,gameplay-adaptive,112062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,137087,2,117072,0,gameplay-adaptive,115072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,140068,2,120053,0,gameplay-adaptive,118053,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,143094,2,123079,0,gameplay-adaptive,121079,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,146071,2,126056,0,gameplay-adaptive,124056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,149063,2,129048,0,gameplay-adaptive,127048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,152087,2,132072,0,gameplay-adaptive,130072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,155066,2,135051,0,gameplay-adaptive,133051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,158107,2,138092,0,gameplay-adaptive,136092,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,161083,2,141068,0,gameplay-adaptive,139068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,164076,2,144061,0,gameplay-adaptive,142061,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,167085,2,147070,0,gameplay-adaptive,145070,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,170094,2,150079,0,gameplay-adaptive,148079,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,173070,2,153055,0,gameplay-adaptive,151055,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,176080,2,156065,0,gameplay-adaptive,154065,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,179089,2,159074,0,gameplay-adaptive,157074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,182091,2,162076,0,gameplay-adaptive,160076,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,185090,2,165075,0,gameplay-adaptive,163075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,188071,2,168056,0,gameplay-adaptive,166056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,191081,2,171066,0,gameplay-adaptive,169066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,194089,2,174074,0,gameplay-adaptive,172074,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,197066,2,177051,0,gameplay-adaptive,175051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,200063,2,180048,0,gameplay-adaptive,178048,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,203107,2,183092,0,gameplay-adaptive,181092,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,206071,2,186056,0,gameplay-adaptive,184056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,209088,2,189073,0,gameplay-adaptive,187073,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,212064,2,192049,0,gameplay-adaptive,190049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,215104,2,195089,0,gameplay-adaptive,193089,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,218080,2,198065,0,gameplay-adaptive,196065,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,221072,2,201057,0,gameplay-adaptive,199057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,224064,2,204049,0,gameplay-adaptive,202049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,227090,2,207075,0,gameplay-adaptive,205075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,230066,2,210051,0,gameplay-adaptive,208051,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,233090,2,213075,0,gameplay-adaptive,211075,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,236082,2,216067,0,gameplay-adaptive,214067,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,239074,2,219059,0,gameplay-adaptive,217059,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,242100,2,222085,0,gameplay-adaptive,220085,dynamic-0,0,1,playing,none,whitescreen.png,complete,80,true,K_SPACE
,,245093,2,225078,0,gameplay-adaptive,223078,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,248072,2,228057,0,gameplay-adaptive,226057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,251081,2,231066,0,gameplay-adaptive,229066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,254076,2,234061,0,gameplay-adaptive,232061,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,257074,2,237059,0,gameplay-adaptive,235059,dynamic-0,0,1,playing,none,whitescreen.png,complete,49,true,K_SPACE
,,260070,2,240055,0,gameplay-adaptive,238055,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,263064,2,243049,0,gameplay-adaptive,241049,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,266072,2,246057,0,gameplay-adaptive,244057,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,269083,2,249068,0,gameplay-adaptive,247068,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,272067,2,252052,0,gameplay-adaptive,250052,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,275078,2,255063,0,gameplay-adaptive,253063,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,278071,2,258056,0,gameplay-adaptive,256056,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,281081,2,261066,0,gameplay-adaptive,259066,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,284077,2,264062,0,gameplay-adaptive,262062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,287087,2,267072,0,gameplay-adaptive,265072,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,290065,2,270050,0,gameplay-adaptive,268050,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
,,293094,2,273079,0,gameplay-adaptive,271079,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,296079,2,276064,0,gameplay-adaptive,274064,dynamic-0,0,1,playing,none,whitescreen.png,complete,64,true,K_SPACE
,,299077,2,279062,0,gameplay-adaptive,277062,dynamic-0,0,1,playing,none,whitescreen.png,complete,48,true,K_SPACE
